start_level,Prob_Avanco_%,Amostras,Ret_Medio_Conquista,Barras_Medias
<<<<<<< HEAD
40,100.0,2,0.22271871271131102,1.0
41,100.0,6,0.057161288289457635,11.833333333333334
42,100.0,17,0.18783478149852737,13.529411764705882
43,87.09677419354838,31,-0.0381669286704153,10.096774193548388
44,81.13207547169811,53,-0.007559132338160913,11.660377358490567
45,78.21782178217822,101,-0.021021484558234836,10.376237623762376
46,71.1864406779661,177,-0.02144885829622956,12.446327683615819
47,69.56521739130434,230,-0.01633519842185458,11.391304347826088
48,64.3312101910828,314,-0.02700554160408544,11.907643312101911
49,60.81424936386768,393,-0.0003043513364491741,10.282442748091603
50,56.63430420711974,309,-0.028688326262100863,11.16504854368932
51,51.8796992481203,266,-0.02702758252271612,12.755639097744362
52,55.333333333333336,150,0.01638206899477002,12.6
53,42.5531914893617,94,-0.03901635338160012,12.97872340425532
54,34.48275862068966,58,-0.05441581414446001,15.758620689655173
55,41.935483870967744,31,0.06584025178822602,15.612903225806452
56,38.88888888888889,18,0.04018652101344409,18.055555555555557
57,55.55555555555556,9,-0.07687848698188172,13.222222222222221
58,0.0,3,0.03964175376881775,3.3333333333333335
59,100.0,1,0.11894452140417618,3.0
60,nan,0,nan,nan
=======
40,100.0,13,0.13671336075070564,3.0
41,88.23529411764706,34,0.018664328625395785,9.941176470588236
42,82.45614035087719,57,0.030402455924521468,7.385964912280702
43,82.52427184466019,103,-0.0221276849970131,9.70873786407767
44,85.14285714285714,175,0.022859664411615715,12.222857142857142
45,77.60000000000001,250,0.002675427370585082,12.228
46,72.11538461538461,312,-0.022057964525664223,11.955128205128204
47,70.05649717514125,354,-0.03866585145786617,12.23728813559322
48,65.59139784946237,372,-0.05023292303358657,13.309139784946236
49,67.01298701298701,385,0.01729187001033442,11.636363636363637
50,67.86632390745501,389,0.02407643557321461,12.038560411311053
51,64.8854961832061,393,0.015923130093791708,11.06615776081425
52,59.11764705882353,340,0.000276820495412072,11.81764705882353
53,52.01465201465202,273,-0.06506793477956821,10.498168498168498
54,55.319148936170215,188,0.015916193509369677,11.308510638297872
55,59.183673469387756,147,0.055835935647567204,9.97278911564626
56,49.107142857142854,112,-0.10881342446614721,9.053571428571429
57,51.470588235294116,68,0.015784521112956768,9.514705882352942
58,38.095238095238095,42,-0.10136318901593422,7.261904761904762
59,50.0,18,-0.02063731603785442,6.166666666666667
60,33.33333333333333,12,-0.1064169577783362,4.833333333333333
>>>>>>> 13985eb (sync: prepare local for remote pull)
