start_level,Prob_Avanco_%,Amostras,Ret_Medio_Conquista,Barras_Medias
40,81.81818181818183,11,0.023411474922467465,5.090909090909091
41,80.95238095238095,21,0.0018204517180603077,7.190476190476191
42,88.09523809523809,42,0.13911099318311693,8.80952380952381
43,87.05882352941177,85,0.06443161503736257,7.658823529411765
44,85.13513513513513,148,0.09075717600883328,9.608108108108109
45,77.39130434782608,230,-0.009614377073683207,9.256521739130434
46,76.23456790123457,324,0.017535808515672317,10.058641975308642
47,72.82051282051282,390,-0.00743259404493126,12.102564102564102
48,66.35514018691589,428,-0.06681685000950315,11.675233644859814
49,65.29126213592234,412,-0.022868376974306624,10.475728155339805
50,62.468513853904284,397,-0.03206648781534729,10.403022670025189
51,62.99694189602446,327,0.0028379977698741424,12.724770642201834
52,56.56565656565656,297,-0.026733634209387885,12.794612794612794
53,64.0625,256,0.02663889683786496,11.93359375
54,61.75115207373272,217,0.04793549558784421,12.640552995391705
55,45.23809523809524,168,-0.0483130946389738,13.333333333333334
56,51.515151515151516,99,0.0678102031637746,16.343434343434343
57,51.5625,64,0.053763873078281274,11.421875
58,55.55555555555556,45,0.014989971723335691,12.088888888888889
59,54.83870967741935,31,0.15770715256974152,17.93548387096774
60,50.0,20,0.11716162028475752,12.85
