st_200,st_50,st_14,avg_ret,samples,win_rate,Interpretacao
-1,-1,-1,0.001677329746306131,20450,50.46454767726162,[BAIXA] QUEDA LIVRE (Sincronia)
-1,-1,1,0.01607918142517625,1662,50.782190132370644,[REPIQUE] EM BAIXA
-1,1,-1,-0.053356923574270056,169,52.662721893491124,---
-1,1,1,0.03226845729253511,839,48.51013110846246,[REPIQUE] EM BAIXA
1,-1,-1,-0.005419384336665297,840,47.5,[PULLBACK] EM TENDENCIA
1,-1,1,-0.039192010358071835,143,53.14685314685315,---
1,1,-1,0.014699321655494563,1696,49.23349056603774,[PULLBACK] EM TENDENCIA
1,1,1,-0.003565877581957297,20364,50.15714005107051,[ALTA] SAUDE MAXIMA (Sincronia)
