ifr_block,Ret_Avg_20,Samples,IFR50_Avg,IFR9_Avg,IFR2_Avg,WR_20,fwd_ret_5,fwd_ret_60
<<<<<<< HEAD
40,0.127934920098501,134,34.00250361679222,29.513745229888748,29.711257482999176,0.5074626865671642,0.06497590937976803,0.3603851164569869
41,0.05315324590997936,384,36.74360228342638,35.89623376528374,37.601406047706185,0.4505208333333333,0.015581152989232988,0.09388092278023562
42,-0.029775780128079226,567,38.37175241667206,37.992588731786334,41.04170749180301,0.49382716049382713,-0.004151783208063634,0.10980875527702443
43,-0.015466005578337959,1308,39.79755091503739,37.23945353450567,39.04085297461649,0.5336391437308868,0.011531030464541809,0.027857092929608425
44,0.011586750572996586,2540,41.56604999604435,41.07529966205582,43.3140144102436,0.4807086614173228,-0.002306400784145765,-0.0007917069728150532
45,-0.021535710835356298,3450,43.02557736051468,43.34026217796378,45.152585211072605,0.4500144885540423,-0.008981218244921107,-0.040290454517594776
46,-0.027205614812447897,4103,44.569250094824575,44.37514431855654,45.66431945021905,0.4592034968431277,-0.013632298885587328,-0.06602698489426433
47,-0.02146012436849655,4528,45.966324047258205,45.6454545342179,46.67786997665164,0.4770520741394528,-0.007669718704005363,-0.022442075888049962
48,-0.009196055978466598,4711,48.00415109829272,48.22705238153355,49.294220785752344,0.4585013797495224,-0.007135004642019424,0.011203051183674697
49,0.009252995701024126,4405,49.35764015638287,48.76575942028213,49.00982808794552,0.49171396140749146,0.009197702965415153,-0.021149722444545896
50,-0.03711223473353507,4767,50.672160710464475,50.18396538805113,50.13027664360314,0.4764002517306482,-0.0015792870407223276,-0.07456502995008153
51,0.016402946690010297,4189,53.09020387571095,53.33311928928093,52.74977764334031,0.5132489854380521,0.004856768655013689,0.011915598975888897
52,-0.007076768260794837,3623,54.39925781689514,55.18471005490049,54.942645091306616,0.4913055478884902,-0.006504262444048087,-0.09360890602430391
53,-0.04986801886118804,2515,55.65249181594106,56.058802354327014,55.62173189377783,0.47435387673956264,-0.018454470840513007,-0.14566268967928456
54,0.05424873350165861,1916,57.03732544702903,57.43865627799359,56.427480862873416,0.5292275574112735,0.018014151694783383,-0.05959170052568172
