start_level,Prob_Avanco_%,Amostras,Ret_Medio_Conquista,Barras_Medias
40,100.0,1,0.4851225574514339,1.0
41,nan,0,nan,nan
42,100.0,3,0.4192661853676236,1.0
43,66.66666666666666,3,0.09349884976785642,8.0
44,100.0,5,0.03734006126602334,10.6
45,71.42857142857143,14,-0.009477028987483883,11.285714285714286
46,75.0,24,0.05527376045543026,11.125
47,82.85714285714286,35,0.08861110037385966,8.542857142857143
48,78.26086956521739,69,0.05436660136270685,8.855072463768115
49,71.32867132867133,143,0.01633513364420794,10.286713286713287
50,65.3409090909091,176,0.012574034873117075,10.869318181818182
51,62.91079812206573,213,0.012074366336585124,12.755868544600938
52,56.54545454545454,275,-0.026733634209387885,12.796363636363636
53,64.0625,256,0.02663889683786496,11.93359375
54,61.75115207373272,217,0.04793549558784421,12.640552995391705
55,45.23809523809524,168,-0.0483130946389738,13.333333333333334
56,51.515151515151516,99,0.0678102031637746,16.343434343434343
57,51.5625,64,0.053763873078281274,11.421875
58,55.55555555555556,45,0.014989971723335691,12.088888888888889
59,54.83870967741935,31,0.15770715256974152,17.93548387096774
60,50.0,20,0.11716162028475752,12.85
