st_200,st_50,st_14,avg_ret,samples,win_rate,Interpretacao
-1,-1,-1,-0.01241362025682067,20136,48.490266189908624,[BAIXA] QUEDA LIVRE (Sincronia)
-1,-1,1,-0.0005049221085329737,1683,50.20796197266786,[REPIQUE] EM BAIXA
-1,1,-1,-0.08888788709613066,164,46.34146341463415,---
-1,1,1,-0.0181617095202731,972,49.48559670781893,[REPIQUE] EM BAIXA
1,-1,-1,0.04210810874026521,890,52.359550561797754,[PULLBACK] EM TENDENCIA
1,-1,1,0.124551658567174,146,52.73972602739726,---
1,1,-1,0.01205193346317993,1684,50.2375296912114,[PULLBACK] EM TENDENCIA
1,1,1,-0.02293565693498784,20491,46.91815919184032,[ALTA] SAUDE MAXIMA (Sincronia)
