symbol,corr_ifr,corr_z_score,corr_ma_dist
WIN$,-0.02333625869753856,-0.012780477022642123,-0.012732067218798772
WDO$,-0.020016148706815277,-0.026585602926149848,-0.021979662989032433
DI1$,0.0482703189548727,0.040413540806512674,0.0343908465304819
