symbol,phase,horizon,ret_type,mean_alta,mean_baixa,p_welch,p_mw,p_adj_neff,cohen_d,ci_low,ci_high,n_alta,n_baixa,neff_total,p_fdr
WIN$,IS,5,Raw,-0.00011397690688067985,3.7059596299454366e-05,0.03824822398654975,0.02942708995824954,0.3684092623347015,-0.033855736632150746,-0.0002919234665724126,-8.087816672079438e-06,5703,8874,2946.1321587478888,0.6862825679679349
WIN$,IS,5,Adjusted,-0.05617878039818191,0.021856314505723184,0.009306442508110102,0.028156019065879202,0.23957825466478644,-0.04419224464731984,-0.13191268180476323,-0.02254406070711209,5703,8874,2974.9920742881004,0.6288160322849169
WIN$,IS,10,Raw,-0.00020667030833575363,5.970606929246006e-05,0.010709790308987699,0.005856139870566155,0.4291732930822334,-0.041642535517004614,-0.00046157440554978047,-4.803725054120716e-05,5703,8874,1500.492249650486,0.7510532628939085
WIN$,IS,10,Adjusted,-0.10822358260032007,0.03768130219254758,0.0007362095384396556,0.0034337590419202865,0.2746872960133526,-0.05731121919426958,-0.22701453481013886,-0.0649953575931884,5703,8874,1516.940696853038,0.6288160322849169
WIN$,IS,20,Raw,-0.0003349932874343479,0.00012381532777020642,0.001783345934810785,6.336229536831669e-06,0.48521194902942044,-0.05088414302632922,-0.0007541671036723081,-0.00017355246808039963,5703,8874,796.8408871398291,0.8151560743694264
WIN$,IS,20,Adjusted,-0.190700604627044,0.05454142773193104,3.6938430723241556e-05,2.609321733983907e-05,0.33478488843075205,-0.06996175165761771,-0.3734670520438685,-0.12947646810624042,5703,8874,805.6216101894343,0.6808010722623798
WIN$,IS,50,Raw,-0.0006131795784332994,0.00024503700075771977,0.00013054444650188892,0.00022814234880730796,0.5765737837301061,-0.06239605385956878,-0.0012959880407549087,-0.00042105400930656997,5703,8874,335.94071653847965,0.8519407106704198
WIN$,IS,50,Adjusted,-0.29931363079105505,0.0991664204103403,1.6961898859483734e-05,0.00015151351094917288,0.5158432868730456,-0.07289530117851888,-0.5703915674975903,-0.2152631139595115,5703,8874,336.2145572064997,0.8332853095641506
WIN$,IS,100,Raw,-0.0018082915995166614,0.0006639896014574472,3.597101753800853e-15,5.001476461431792e-10,0.40698699992661735,-0.12873100819695857,-0.003062479486290109,-0.0018118233270889425,5703,8874,178.79059708210934,0.7273810211454438
WIN$,IS,100,Adjusted,-0.7820108585690202,0.3132956711419936,1.9910102989517962e-17,2.065665383172028e-15,0.3512512612674743,-0.1439587333905725,-1.3436413865443908,-0.8288699167115609,5703,8874,183.90578318101922,0.6861652545690197
WIN$,IS,200,Raw,-0.0034099467529146257,0.001739345949956195,7.343152560161128e-36,2.8481814303475798e-36,0.26854293240848204,-0.2045068996485196,-0.005903020001150879,-0.0044035071885534715,5703,8874,125.63013159261735,0.6288160322849169
WIN$,IS,200,Adjusted,-1.5057530707643811,0.6638620519379248,9.478383946961926e-37,4.4868645038125015e-52,0.2425192413602013,-0.21610438356552258,-2.494852739897139,-1.8603533693571783,5703,8874,127.9387505732239,0.6288160322849169
WIN$,IS,500,Raw,-0.009123113811379884,0.004063177332565924,1.589854359439762e-89,1.0738001304694507e-48,0.11257215979986923,-0.3323517888497414,-0.01439765372068416,-0.0118978515857287,5703,8874,98.02322584824182,0.5233518298907672
WIN$,IS,500,Adjusted,-4.314165212230869,1.6081001537860398,3.467495749297127e-94,1.2566191839546868e-75,0.09216551766461278,-0.35346201943979066,-6.49302205251937,-5.372804407677391,5703,8874,99.30738071866644,0.45540608728396903
WIN$,VAL,5,Raw,2.7029349034221266e-05,0.00010405978151474718,0.3506783214994392,0.5217905363658841,0.7396674070797125,-0.025676141713493687,-0.0002390861741974757,8.920364811847698e-05,1768,3612,940.1190034424424,0.9257315507132633
WIN$,VAL,5,Adjusted,0.019357207538171276,0.05945341949341723,0.4152567171493693,0.5039534644779826,0.7577732165060227,-0.023116257123678367,-0.13017133875597534,0.05695397119460485,1768,3612,1010.2985640686001,0.9257315507132633
WIN$,VAL,10,Raw,5.95285471175793e-05,0.0001582221394268166,0.3970710271569119,0.35344799990227915,0.8261934757759302,-0.023619409162945467,-0.00031963660249670215,0.00012153432729241668,1768,3612,443.0888044410388,0.9338272528608429
WIN$,VAL,10,Adjusted,0.04161343596906759,0.09293828295785046,0.47842251977222305,0.20579369158991956,0.8444423074812808,-0.02047560212461432,-0.19425532589873276,0.09585820849149673,1768,3612,480.3401027289051,0.9338272528608429
WIN$,VAL,20,Raw,7.086607729779204e-05,0.00018366221012746137,0.49462558062345485,0.6603436590996412,0.8876903163533805,-0.019078788758718514,-0.0004472041915809412,0.00020592667024167555,1768,3612,261.3790435974264,0.9620729867562667
WIN$,VAL,20,Adjusted,0.08556735524310544,0.10222792768067604,0.8692922028948632,0.423273109787795,0.9713977155106663,-0.004790309030207775,-0.21853628551119936,0.1843500298574933,1768,3612,273.6888443977934,0.9845850197094097
WIN$,VAL,50,Raw,-3.764061517571597e-05,0.0004712935956700447,0.03918392629742042,0.2114103098392175,0.760422345228752,-0.0578002273170454,-0.0009788161827575526,-3.971575569004575e-05,1768,3612,122.7422949100642,0.9257315507132633
WIN$,VAL,50,Adjusted,0.10223222598297933,0.20468545628125312,0.4762383343668426,0.6901550975017243,0.9161626617510363,-0.02062174262866372,-0.38154901676247127,0.16821930326511056,1768,3612,122.0413981634533,0.9707895050640465
WIN$,VAL,100,Raw,-0.0010639096111300114,0.0012124079905236316,1.3866968011138004e-10,3.088355360869831e-08,0.4784442108030893,-0.18121563129630835,-0.002946611591519832,-0.0015893852724330687,1768,3612,63.57983666421035,0.8151560743694264
WIN$,VAL,100,Adjusted,-0.48310835004026065,0.47616853609328036,4.568835655388822e-06,2.978640909839514e-08,0.6057604851502676,-0.13427353456762242,-1.3444328915855062,-0.5553515529815627,1768,3612,63.07923586215455,0.8519407106704198
WIN$,VAL,200,Raw,-0.005453854039398826,0.0013705804972912246,3.239627054955499e-35,1.6665895486893772e-23,0.2566210661838155,-0.34777671682657685,-0.007956770862670845,-0.005736888123759313,1768,3612,45.341801488558005,0.6288160322849169
WIN$,VAL,200,Adjusted,-3.0454704831911936,0.18817490283137392,3.042668510421462e-23,9.468259747726539e-25,0.3404005361311899,-0.29065946564198236,-3.87686834492621,-2.6017722359397633,1768,3612,45.96570481928123,0.6808010722623798
WIN$,VAL,500,Raw,-0.015352195229217231,0.002854289546641201,5.544086032881789e-91,1.3232253849458977e-66,0.12982033767994916,-0.5654942101825025,-0.01994488698276999,-0.01654063985857089,1768,3612,33.9984145753169,0.5452454182557865
WIN$,VAL,500,Adjusted,-9.30396538295761,0.4123447170449758,7.38692398848645e-83,2.7496897863416332e-83,0.11837719961814974,-0.5531605981720967,-10.712305366634375,-8.757551546333243,1768,3612,36.7574061960041,0.5233518298907672
WDO$,IS,5,Raw,-0.00023083156537342662,-1.711891586285589e-05,0.0010893796625843315,0.05935763105510454,0.1467703582760933,-0.0657991368929868,-0.0003458242363365263,-8.923147067374984e-05,3646,8448,2234.3715939699955,0.5603959134178108
WDO$,IS,5,Adjusted,-0.10886949247721739,-0.017316193367250987,0.017291237143226924,0.09394366819157246,0.33870171437029906,-0.04749998689578403,-0.16729129780408356,-0.012275503952876745,3646,8448,2125.597844686744,0.6808010722623798
WDO$,IS,10,Raw,-0.00036881644110460586,-2.396338585699029e-05,0.00018271160689140373,0.010897577168593424,0.25260588599212275,-0.07508538596415192,-0.0005314317902541897,-0.0001607433571720015,3646,8448,1110.6443989222134,0.6288160322849169
WDO$,IS,10,Adjusted,-0.18929250013904547,-0.018301119244836937,0.0020468527035772,0.01020634631131558,0.37582140626815486,-0.06133516977047678,-0.2812793164590261,-0.059842516467695166,3646,8448,1064.2503062882186,0.6862825679679349
WDO$,IS,20,Raw,-0.0007287905256004255,-8.974721509646158e-06,4.319521466439621e-08,7.916108824554162e-05,0.23432579016057198,-0.10977457655006964,-0.0009797208373680006,-0.00047143230826083844,3646,8448,538.0726694113291,0.6288160322849169
WDO$,IS,20,Adjusted,-0.3948740234535582,0.004547302529575194,1.2880864031598574e-07,8.412867977950192e-06,0.26587282919612476,-0.10480542772805701,-0.5414511306993623,-0.25870673718874115,3646,8448,549.6300299622742,0.6288160322849169
WDO$,IS,50,Raw,-0.0017648779403967398,3.98189275035138e-05,2.882366032300562e-17,7.724976669804202e-10,0.24216783221777516,-0.16875803652754737,-0.0022074692120286985,-0.0013669636764954065,3646,8448,235.1519853147238,0.6288160322849169
WDO$,IS,50,Adjusted,-0.8715245692826553,0.028123383182461388,1.4168975841355245e-13,5.082601748203128e-09,0.3092770074659634,-0.1460487906909401,-1.1197247021865648,-0.666052768756989,3646,8448,244.42658762971567,0.6808010722623798
WDO$,IS,100,Raw,-0.0030782710538120738,0.0002750419741439548,8.138355977335248e-27,8.26027935367921e-12,0.27697849041121336,-0.2138460398842774,-0.003960097412643504,-0.0027668154124408308,3646,8448,125.3853278309274,0.6288160322849169
WDO$,IS,100,Adjusted,-1.403394928694337,0.23194276982825082,6.2290217761938786e-21,2.141865948612757e-12,0.3260861059023108,-0.18551094441786997,-1.9638694976267443,-1.2790525106372028,3646,8448,136.1740681437515,0.6808010722623798
WDO$,IS,200,Raw,-0.0057788016725359385,0.0007072326937146027,7.587250387585075e-51,3.923681936968182e-26,0.21204546509289846,-0.29522301282625024,-0.007288603058827925,-0.00559750101188017,3646,8448,85.81385652380722,0.6288160322849169
WDO$,IS,200,Adjusted,-2.7512425193529455,0.38823558919324536,3.214407515922956e-41,7.028203783885878e-28,0.2446321138259584,-0.2619945170409881,-3.63471035593694,-2.6930442781785944,3646,8448,93.85823050244788,0.6288160322849169
WDO$,IS,500,Raw,-0.00919404752272582,0.0020962812256185423,6.135953638268052e-71,2.738563996007224e-48,0.18172503390734263,-0.3380166443355204,-0.012602867318725194,-0.009996804749613838,3646,8448,74.25658814355062,0.6288160322849169
WDO$,IS,500,Adjusted,-4.0365679547094855,1.1025396154339617,4.81273391736703e-53,2.1919427379723266e-36,0.23337966205820515,-0.2885092427874056,-5.743759403146383,-4.4395715251300745,3646,8448,80.41155913408797,0.6288160322849169
WDO$,VAL,5,Raw,1.142705933961111e-06,8.750484235803164e-05,0.26731147430018143,0.6730295966917994,0.6667455475483592,-0.029778509194442675,-0.00024181957696514398,7.470312155413586e-05,4078,1857,1085.425307274118,0.8751035311572215
WDO$,VAL,5,Adjusted,0.02034578689205159,0.07787562493935107,0.2813664864226332,0.8024379449446603,0.6455402433824946,-0.03007246808422675,-0.16592472665729602,0.05213423385912695,4078,1857,1173.0395192988585,0.8651588945650394
WDO$,VAL,10,Raw,2.042410604420356e-05,0.0001372936394876213,0.28902265137941674,0.7752671121016641,0.7555833051522822,-0.028444935343667096,-0.0003279317899197993,8.730535898934753e-05,4078,1857,565.5000821291233,0.9257315507132633
WDO$,VAL,10,Adjusted,0.05797919995208636,0.11180674331590251,0.4743777785022564,0.6116545125061356,0.8187914130955625,-0.02009762771662333,-0.19638806718176696,0.09188808935870338,4078,1857,606.8878777428984,0.9338272528608429
WDO$,VAL,20,Raw,9.413898616789398e-05,0.00028932922123049975,0.21920996083243402,0.34175631566721487,0.7827937607517759,-0.03310638302314977,-0.000498164978899956,0.00010634969118291653,4078,1857,317.2546809334475,0.9338272528608429
WDO$,VAL,20,Adjusted,0.13526736999266722,0.16196542164839495,0.7935651646565489,0.1664386078467761,0.9510628858308161,-0.007356831302222866,-0.20680810268823957,0.1701307154254682,4078,1857,312.82563374981385,0.9845850197094097
WDO$,VAL,50,Raw,0.00035200697024232813,0.0010028449720575065,0.010268469181365172,0.3575468738134403,0.6962200755548142,-0.07048472178246716,-0.0011267864409110783,-0.00016271858841709034,4078,1857,129.07961021182777,0.8997305591785292
WDO$,VAL,50,Adjusted,0.5073201030738163,0.50488722083421,0.9874943623221031,0.12278160308353367,0.9979980737048815,0.0004341842807794767,-0.28753151642200936,0.29272661933567223,4078,1857,137.27957768633922,0.9979980737048815
WDO$,VAL,100,Raw,0.0012541180481715742,0.0018744998667572742,0.08506610627238248,0.011489265954013074,0.8448913240169531,-0.047622170955845665,-0.0012808766244255785,5.986750721853608e-05,4078,1857,71.70782897496139,0.9338272528608429
WDO$,VAL,100,Adjusted,1.2823603578906482,1.1064946297706328,0.4269012956797409,0.0023691545007828935,0.92456143339433,0.022104425238037424,-0.27777339320264477,0.5860035514670728,4078,1857,76.48693439656766,0.9707895050640465
WDO$,VAL,200,Raw,0.002697984108822135,0.002524509861222364,0.7201313382938561,5.989061785051225e-09,0.9728637694747739,0.009798419047254172,-0.0008108769821059285,0.001127248039958656,4078,1857,50.921078611061475,0.9845850197094097
WDO$,VAL,200,Adjusted,2.61784157952222,1.904243514059883,0.027181022296543962,3.122274090378657e-08,0.8208850058233021,0.0615083939258832,0.08487456882217696,1.3513258035567546,4078,1857,56.97794897501308,0.9338272528608429
WDO$,VAL,500,Raw,0.0036527217452645253,0.002533073094521591,0.08876522269985117,0.00807387835449869,0.8933534877022478,0.04517778062826815,-0.0001723451266141451,0.002377657050006048,4078,1857,38.67749821968923,0.9620729867562667
WDO$,VAL,500,Adjusted,3.6314915254694466,2.584520575558153,0.015073737627163615,0.007784706847948067,0.8401577618909046,0.06561932865062367,0.2042367024183698,1.8933185529289651,4078,1857,41.551902830218566,0.9338272528608429
DI1$,IS,5,Raw,0.00033472973475699453,-5.136514392452515e-05,8.570577914533946e-12,5.621712790693756e-08,0.005480380087895975,0.09412475576583955,0.0002681555239608638,0.0005003951233161324,12051,7563,3516.2577418302094,0.06581131582103547
DI1$,IS,5,Adjusted,0.2876353366533171,-0.04919656908266601,7.134092974620548e-15,7.391401586611471e-09,0.0020327495195007206,0.10528247702547272,0.2517700539761003,0.4195142936443668,12051,7563,3493.4799190840567,0.0529701526965527
DI1$,IS,10,Raw,0.0006545051179970639,-0.00010179080450750436,9.814086505504355e-22,1.7490013279682266e-12,0.00646504059222841,0.13215151346690296,0.0006060780340952745,0.0009060635802744789,12051,7563,1713.5857930674042,0.06581131582103547
DI1$,IS,10,Adjusted,0.6110255228638454,-0.07695095695147422,3.457305297715683e-26,4.5782567933737306e-14,0.0025223882236453665,0.14279286022852303,0.5696158911064902,0.8045281785221665,12051,7563,1825.6533633980034,0.0529701526965527
DI1$,IS,20,Raw,0.001289610876471056,-0.00018942344513618806,4.673406057606511e-41,1.3429155095988055e-21,0.008269543381067779,0.1851971482764641,0.0012578119220897556,0.001691712985972452,12051,7563,822.268182418268,0.06946416440096935
DI1$,IS,20,Adjusted,1.0997986496933887,-0.11311978085862645,1.6688668330368518e-43,1.2336752973498117e-26,0.00510717546860362,0.1872344784107541,1.0322395046536568,1.3884843136191867,12051,7563,911.6473525788261,0.06581131582103547
DI1$,IS,50,Raw,0.0030818537660946524,-0.0003852762859607439,9.015574079112975e-85,2.1070368092765182e-44,0.011676207108956005,0.2666988136165709,0.003142725292894789,0.0038088853223134217,12051,7563,365.7213165190878,0.07005724265373603
DI1$,IS,50,Adjusted,2.666799384704426,-0.19276448373222013,4.012410420374847e-79,1.473084979036089e-53,0.011554938754831934,0.25211049198279073,2.55968584379464,3.1490138171603035,12051,7563,430.43312668305646,0.07005724265373603
DI1$,IS,100,Raw,0.0060342734376587865,-0.001029080816632404,2.2187421209012444e-165,4.274882933051587e-102,0.010392163843813362,0.3716048815836251,0.006608634961101954,0.007574820572409668,12051,7563,197.77289021836583,0.07005724265373603
DI1$,IS,100,Adjusted,5.279590674591141,-0.5011655952000551,4.2899215864908716e-157,4.878311543554106e-104,0.010726856151362263,0.35722959195881254,5.326485832831349,6.23489047259447,12051,7563,223.0257815033682,0.07005724265373603
DI1$,IS,200,Raw,0.011741246039900888,-0.0025597875090388324,4.95684831436905e-276,7.95526661914413e-203,0.00697420981177177,0.4808470487569308,0.013609798973177843,0.015059704274577864,12051,7563,136.02069622134647,0.06581131582103547
DI1$,IS,200,Adjusted,12.392276302110716,-1.3649718037141678,1.0332350396076576e-256,4.884119923556338e-202,0.007051212409396657,0.45716334717478974,13.024192790901186,14.539516789769099,12051,7563,159.49228605540992,0.06581131582103547
DI1$,IS,500,Raw,0.02945333113446838,-0.00728050117764791,0.0,0.0,0.0004466864280021632,0.7286522817458493,0.035422948329812104,0.03809013919101536,12051,7563,110.81414625224647,0.03013728403790772
DI1$,IS,500,Adjusted,31.897856293012577,-4.15469249590895,0.0,0.0,0.0007175543818549457,0.6612804892969341,34.60511349406965,37.4957758676276,12051,7563,128.185598236045,0.03013728403790772
DI1$,VAL,5,Raw,0.00020531955611710926,-3.924754340446011e-05,0.09039413937612828,0.3055037743189668,0.5552193518334114,0.06705174358687323,-2.5708348628327916e-05,0.000518338143048387,5636,575,1033.9473623722006,0.8519407106704198
DI1$,VAL,5,Adjusted,0.1199767614270441,-0.0012001750979451456,0.08897665698095289,0.4208080481826807,0.537761042390037,0.07276061004453449,-0.015099651494821918,0.25453886003302967,5636,575,1050.3424748131285,0.8519407106704198
DI1$,VAL,10,Raw,0.00040912245515462546,4.0796349290477164e-05,0.07069070450258495,0.1604172803207452,0.6099498068044453,0.07180330879395336,-2.535788769801751e-05,0.0007541807059503539,5636,575,519.2144914942833,0.8519407106704198
DI1$,VAL,10,Adjusted,0.22927866987441617,0.0632500776647091,0.09133172108172274,0.4088389420373669,0.6488691709237795,0.07105921929006963,-0.04089618546092292,0.34786452377824684,5636,575,513.3737108592208,0.8651588945650394
DI1$,VAL,20,Raw,0.0007646355000525667,7.66751277974716e-06,0.0022178305224038186,0.02374168326332753,0.5853656294890812,0.11246107869994945,0.00026525019207639236,0.001238664352109042,5636,575,272.47739127760326,0.8519407106704198
DI1$,VAL,20,Adjusted,0.40223545148539785,0.054207564453052366,0.004918175943558736,0.12772264990059315,0.6174424486137653,0.11199326414659433,0.10265597976819929,0.5829775312464365,5636,575,267.1049850352642,0.8519407106704198
DI1$,VAL,50,Raw,0.0019391749414831986,0.00013405675324324227,1.0691406428714912e-05,0.0003508055579078254,0.6186712303678048,0.16284860265876847,0.000945096274338019,0.002560214188974737,5636,575,124.08095537730824,0.8519407106704198
DI1$,VAL,50,Adjusted,1.0349891534073676,-0.11657485971936606,4.573724574474932e-09,4.3366267382911816e-05,0.5107601932705554,0.22001232575095053,0.7655144785404031,1.5078637655990332,5636,575,130.0344073693824,0.8332853095641506
DI1$,VAL,100,Raw,0.004094647230834986,0.0003466161229758655,1.7422885015352754e-10,6.643857625286948e-05,0.5675912555762448,0.24039064129914403,0.002621166458033015,0.004806222147315656,5636,575,67.99638899734715,0.8519407106704198
DI1$,VAL,100,Adjusted,2.268769429084854,-0.6576851125974111,1.191146136898657e-22,6.011214720483785e-08,0.3757131839815917,0.37605764938572794,2.371302398659525,3.508721770466776,5636,575,68.03495680333155,0.6862825679679349
DI1$,VAL,200,Raw,0.008160985230872442,-0.004427187564592773,1.724843310561873e-72,1.2742001105663957e-47,0.17747239971623996,0.6455000776017329,0.01130677406166826,0.013838813847616193,5636,575,45.905579646839556,0.6288160322849169
DI1$,VAL,200,Adjusted,4.636181328941701,-3.032044487908593,8.671621139359788e-77,1.3160245551260157e-49,0.1450773139370667,0.7184117463826152,6.97718252360081,8.390894734957476,5636,575,48.80428158913191,0.5603959134178108
DI1$,VAL,500,Raw,0.022472065489299937,-0.005548576744516001,1.1183975782282844e-199,7.301144143109752e-88,0.06512653818530545,0.9807364342004711,0.026551011093620194,0.02964470743549855,5636,575,37.78614750563645,0.3419143254728536
DI1$,VAL,500,Adjusted,12.498029058964741,-2.8830666551531277,7.204312987829678e-219,1.777325974294277e-96,0.06069464381893375,0.967303730704167,14.576944662056428,16.17209684199005,5636,575,41.93816897247805,0.339890005386029
