symbol,phase,horizon,n_events,hit_rate,mean_ret,p_val,cohen_d,mae_avg,mfe_avg,ratio_mfe_mae,variation
WIN$,IS,5,147,0.46938775510204084,-3.3457668888637046e-05,0.9309571813514697,0.004325264491027855,0.0034203312471454204,0.0034307066509148224,1.0030331567285782,A
WIN$,IS,10,147,0.4217687074829932,-0.00011131552594551075,0.8456722468608605,-0.0008620059420286737,0.005030480558491528,0.005019587543531532,0.9978343991855796,A
WIN$,IS,20,147,0.5102040816326531,0.0006812382308770771,0.3449823497733009,0.09866045650391793,0.006425894317961021,0.006896278748541724,1.0732012283589392,A
WIN$,IS,50,147,0.4897959183673469,0.0007539761193431027,0.511374394455177,0.09008216046217347,0.010510885890992529,0.011568842146166589,1.1006532813211691,A
WIN$,IS,100,147,0.5374149659863946,0.0019350878035288266,0.2200573360140632,0.14992906693539837,0.01372889358691109,0.016665522345845868,1.2139012533270168,A
WIN$,IS,200,147,0.5034013605442177,0.0007935327016901106,0.7085386287765508,0.10279295207778341,0.020316365045147482,0.022374344960316404,1.1012966054360134,A
WIN$,IS,5,147,0.46938775510204084,-3.3457668888637046e-05,0.9309571813514697,0.004325264491027855,0.0034203312471454204,0.0034307066509148224,1.0030331567285782,B
WIN$,IS,10,147,0.4217687074829932,-0.00011131552594551075,0.8456722468608605,-0.0008620059420286737,0.005030480558491528,0.005019587543531532,0.9978343991855796,B
WIN$,IS,20,147,0.5102040816326531,0.0006812382308770771,0.3449823497733009,0.09866045650391793,0.006425894317961021,0.006896278748541724,1.0732012283589392,B
WIN$,IS,50,147,0.4897959183673469,0.0007539761193431027,0.511374394455177,0.09008216046217347,0.010510885890992529,0.011568842146166589,1.1006532813211691,B
WIN$,IS,100,147,0.5374149659863946,0.0019350878035288266,0.2200573360140632,0.14992906693539837,0.01372889358691109,0.016665522345845868,1.2139012533270168,B
WIN$,IS,200,147,0.5034013605442177,0.0007935327016901106,0.7085386287765508,0.10279295207778341,0.020316365045147482,0.022374344960316404,1.1012966054360134,B
WIN$,IS,5,147,0.46938775510204084,-3.3457668888637046e-05,0.9309571813514697,0.004325264491027855,0.0034203312471454204,0.0034307066509148224,1.0030331567285782,C
WIN$,IS,10,147,0.4217687074829932,-0.00011131552594551075,0.8456722468608605,-0.0008620059420286737,0.005030480558491528,0.005019587543531532,0.9978343991855796,C
WIN$,IS,20,147,0.5102040816326531,0.0006812382308770771,0.3449823497733009,0.09866045650391793,0.006425894317961021,0.006896278748541724,1.0732012283589392,C
WIN$,IS,50,147,0.4897959183673469,0.0007539761193431027,0.511374394455177,0.09008216046217347,0.010510885890992529,0.011568842146166589,1.1006532813211691,C
WIN$,IS,100,147,0.5374149659863946,0.0019350878035288266,0.2200573360140632,0.14992906693539837,0.01372889358691109,0.016665522345845868,1.2139012533270168,C
WIN$,IS,200,147,0.5034013605442177,0.0007935327016901106,0.7085386287765508,0.10279295207778341,0.020316365045147482,0.022374344960316404,1.1012966054360134,C
WDO$,IS,5,116,0.4482758620689655,-5.5265959875660333e-05,0.8673552715458405,-0.00964840725228298,0.0024903145790644114,0.002777840890769254,1.1154573798284888,A
WDO$,IS,10,116,0.5172413793103449,0.0006068162591732966,0.1771703155207323,0.14171712869785116,0.0032894079828487627,0.003987692610077014,1.2122823981053001,A
WDO$,IS,20,116,0.5258620689655172,0.000839525094390014,0.16808811093484147,0.14361505327561674,0.0046235771611446985,0.005630053235560235,1.2176831534662225,A
WDO$,IS,50,116,0.5172413793103449,0.0017955942854370457,0.07537701065754714,0.1960658832904289,0.0068559462799368046,0.009291920141626718,1.3553079920580087,A
